id,amount,bank,operation,type,k_symbol
1,1000.0,nan,VKLAD,PRIJEM,nan
1,3679.0,AB,PREVOD Z UCTU,PRIJEM,nan
1,12600.0,nan,VKLAD,PRIJEM,nan
1,19.2,nan,nan,PRIJEM,UROK
1,3679.0,AB,PREVOD Z UCTU,PRIJEM,nan
1,2100.0,nan,VKLAD,PRIJEM,nan
1,79.0,nan,nan,PRIJEM,UROK
1,3679.0,AB,PREVOD Z UCTU,PRIJEM,nan
1,200.0,nan,VYBER,VYDAJ,nan
1,100.6,nan,nan,PRIJEM,UROK
1,3679.0,AB,PREVOD Z UCTU,PRIJEM,nan
2,1100.0,nan,VKLAD,PRIJEM,nan
2,20236.0,ST,PREVOD Z UCTU,PRIJEM,nan
2,3700.0,nan,VKLAD,PRIJEM,nan
2,13.5,nan,nan,PRIJEM,UROK
2,20236.0,ST,PREVOD Z UCTU,PRIJEM,nan
2,11000.0,nan,VYBER,VYDAJ,nan
2,109.5,nan,nan,PRIJEM,UROK
2,20236.0,ST,PREVOD Z UCTU,PRIJEM,nan
2,17600.0,nan,VYBER,VYDAJ,nan
2,144.7,nan,nan,PRIJEM,UROK
2,30354.0,ST,PREVOD Z UCTU,PRIJEM,nan
3,1000.0,nan,VKLAD,PRIJEM,nan
3,7502.0,nan,VKLAD,PRIJEM,nan
3,24.0,nan,nan,PRIJEM,UROK
3,7800.0,nan,VKLAD,PRIJEM,nan
3,7502.0,nan,VKLAD,PRIJEM,nan
3,78.7,nan,nan,PRIJEM,UROK
3,2400.0,nan,VYBER,VYDAJ,nan
3,7502.0,nan,VKLAD,PRIJEM,nan
3,113.7,nan,nan,PRIJEM,UROK
3,6900.0,nan,VYBER,VYDAJ,nan
3,7502.0,nan,VKLAD,PRIJEM,nan
4,800.0,nan,VKLAD,PRIJEM,nan
4,5553.0,UV,PREVOD Z UCTU,PRIJEM,DUCHOD
4,5553.0,UV,PREVOD Z UCTU,PRIJEM,DUCHOD
4,5553.0,UV,PREVOD Z UCTU,PRIJEM,DUCHOD
4,5553.0,UV,PREVOD Z UCTU,PRIJEM,DUCHOD
4,5553.0,UV,PREVOD Z UCTU,PRIJEM,DUCHOD
4,1285.0,UV,PREVOD NA UCET,VYDAJ,nan
4,1900.0,nan,VYBER,VYDAJ,nan
4,14.6,nan,VYBER,VYDAJ,SLUZBY
4,66.6,nan,nan,PRIJEM,UROK
4,2078.0,UV,PREVOD NA UCET,VYDAJ,SIPO
5,600.0,nan,VKLAD,PRIJEM,nan
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,14.6,nan,VYBER,VYDAJ,SLUZBY
5,3.5,nan,nan,PRIJEM,UROK
5,2668.0,GH,PREVOD NA UCET,VYDAJ,SIPO
5,5017.0,KL,PREVOD Z UCTU,PRIJEM,DUCHOD
5,14.6,nan,VYBER,VYDAJ,SLUZBY
6,900.0,nan,VKLAD,PRIJEM,nan
6,6669.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
6,6669.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
6,6669.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
6,6669.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
6,6669.0,OP,PREVOD Z UCTU,PRIJEM,DUCHOD
6,3954.0,AB,PREVOD NA UCET,VYDAJ,SIPO
6,2160.0,nan,VYBER,VYDAJ,nan
6,2320.0,nan,VYBER,VYDAJ,nan
6,2000.0,nan,VYBER,VYDAJ,nan
6,14.6,nan,VYBER,VYDAJ,SLUZBY
7,900.0,nan,VKLAD,PRIJEM,nan
7,33975.0,nan,VKLAD,PRIJEM,nan
7,6600.0,nan,VYBER,VYDAJ,nan
7,30.4,nan,nan,PRIJEM,UROK
7,22650.0,nan,VKLAD,PRIJEM,nan
7,12300.0,nan,VYBER,VYDAJ,nan
7,130.4,nan,nan,PRIJEM,UROK
7,22650.0,nan,VKLAD,PRIJEM,nan
7,14500.0,nan,VYBER,VYDAJ,nan
7,169.7,nan,nan,PRIJEM,UROK
7,22650.0,nan,VKLAD,PRIJEM,nan
8,900.0,nan,VKLAD,PRIJEM,nan
8,20475.0,nan,VKLAD,PRIJEM,nan
8,3700.0,nan,VKLAD,PRIJEM,nan
8,37.1,nan,nan,PRIJEM,UROK
8,20475.0,nan,VKLAD,PRIJEM,nan
8,12000.0,nan,VYBER,VYDAJ,nan
8,117.5,nan,nan,PRIJEM,UROK
8,30712.0,nan,VKLAD,PRIJEM,nan
8,16900.0,nan,VYBER,VYDAJ,nan
8,162.4,nan,nan,PRIJEM,UROK
8,20475.0,nan,VKLAD,PRIJEM,nan
9,400.0,nan,VKLAD,PRIJEM,nan
9,800.0,nan,VKLAD,PRIJEM,nan
9,10900.0,nan,VKLAD,PRIJEM,nan
9,5.4,nan,nan,PRIJEM,UROK
9,800.0,nan,VKLAD,PRIJEM,nan
9,5800.0,nan,VKLAD,PRIJEM,nan
9,54.0,nan,nan,PRIJEM,UROK
9,800.0,nan,VKLAD,PRIJEM,nan
9,14245.0,nan,VKLAD,PRIJEM,nan
9,6800.0,nan,VYBER,VYDAJ,nan
9,84.6,nan,nan,PRIJEM,UROK
10,1100.0,nan,VKLAD,PRIJEM,nan
10,17686.0,nan,VKLAD,PRIJEM,nan
10,3200.0,nan,VKLAD,PRIJEM,nan
10,12.2,nan,nan,PRIJEM,UROK
10,17686.0,nan,VKLAD,PRIJEM,nan
10,7000.0,nan,VYBER,VYDAJ,nan
10,98.8,nan,nan,PRIJEM,UROK
10,17686.0,nan,VKLAD,PRIJEM,nan
10,11500.0,nan,VYBER,VYDAJ,nan
10,140.5,nan,nan,PRIJEM,UROK
10,26529.0,nan,VKLAD,PRIJEM,nan
11,300.0,nan,VKLAD,PRIJEM,nan
11,3494.0,IJ,PREVOD Z UCTU,PRIJEM,nan
11,10.2,nan,nan,PRIJEM,UROK
11,3494.0,IJ,PREVOD Z UCTU,PRIJEM,nan
11,15.8,nan,nan,PRIJEM,UROK
11,3494.0,IJ,PREVOD Z UCTU,PRIJEM,nan
11,15.8,nan,nan,PRIJEM,UROK
11,3494.0,IJ,PREVOD Z UCTU,PRIJEM,nan
11,15.8,nan,nan,PRIJEM,UROK
11,3494.0,IJ,PREVOD Z UCTU,PRIJEM,nan
11,2132.0,ST,PREVOD NA UCET,VYDAJ,nan
12,1100.0,nan,VKLAD,PRIJEM,nan
12,5938.0,CD,PREVOD Z UCTU,PRIJEM,DUCHOD
12,5938.0,CD,PREVOD Z UCTU,PRIJEM,DUCHOD
12,5938.0,CD,PREVOD Z UCTU,PRIJEM,DUCHOD
12,1100.0,nan,VYBER,VYDAJ,nan
12,43.1,nan,nan,PRIJEM,UROK
12,5938.0,CD,PREVOD Z UCTU,PRIJEM,DUCHOD
12,3200.0,nan,VYBER,VYDAJ,nan
12,81.3,nan,nan,PRIJEM,UROK
12,1000.0,nan,VYBER,VYDAJ,nan
12,5938.0,CD,PREVOD Z UCTU,PRIJEM,DUCHOD
13,1000.0,nan,VKLAD,PRIJEM,nan
13,6803.0,QR,PREVOD Z UCTU,PRIJEM,DUCHOD
13,6803.0,QR,PREVOD Z UCTU,PRIJEM,DUCHOD
13,6803.0,QR,PREVOD Z UCTU,PRIJEM,DUCHOD
13,1100.0,nan,VYBER,VYDAJ,nan
13,45.1,nan,nan,PRIJEM,UROK
13,6803.0,QR,PREVOD Z UCTU,PRIJEM,DUCHOD
13,4300.0,nan,VYBER,VYDAJ,nan
13,90.4,nan,nan,PRIJEM,UROK
13,6803.0,QR,PREVOD Z UCTU,PRIJEM,DUCHOD
13,6800.0,nan,VYBER,VYDAJ,nan
14,400.0,nan,VKLAD,PRIJEM,nan
14,22137.0,nan,VKLAD,PRIJEM,nan
14,2200.0,nan,VKLAD,PRIJEM,nan
14,16.6,nan,nan,PRIJEM,UROK
14,14758.0,nan,VKLAD,PRIJEM,nan
14,9000.0,nan,VYBER,VYDAJ,nan
14,107.7,nan,nan,PRIJEM,UROK
14,14758.0,nan,VKLAD,PRIJEM,nan
14,9400.0,nan,VYBER,VYDAJ,nan
14,130.4,nan,nan,PRIJEM,UROK
14,14758.0,nan,VKLAD,PRIJEM,nan
15,800.0,nan,VKLAD,PRIJEM,nan
15,17065.0,nan,VKLAD,PRIJEM,nan
15,62.4,nan,nan,PRIJEM,UROK
15,4400.0,nan,VKLAD,PRIJEM,nan
15,17065.0,nan,VKLAD,PRIJEM,nan
15,149.2,nan,nan,PRIJEM,UROK
15,7300.0,nan,VYBER,VYDAJ,nan
15,25598.0,nan,VKLAD,PRIJEM,nan
15,16000.0,nan,VYBER,VYDAJ,nan
15,226.5,nan,nan,PRIJEM,UROK
15,17065.0,nan,VKLAD,PRIJEM,nan
16,500.0,nan,VKLAD,PRIJEM,nan
16,20841.0,nan,VKLAD,PRIJEM,nan
16,1300.0,nan,VKLAD,PRIJEM,nan
16,27.4,nan,nan,PRIJEM,UROK
16,20841.0,nan,VKLAD,PRIJEM,nan
16,14600.0,nan,VYBER,VYDAJ,nan
16,102.2,nan,nan,PRIJEM,UROK
16,31262.0,nan,VKLAD,PRIJEM,nan
16,22400.0,nan,VYBER,VYDAJ,nan
16,132.5,nan,nan,PRIJEM,UROK
16,20841.0,nan,VKLAD,PRIJEM,nan
17,700.0,nan,VKLAD,PRIJEM,nan
17,12400.0,nan,VKLAD,PRIJEM,nan
17,2500.0,nan,VKLAD,PRIJEM,nan
17,300.0,nan,VKLAD,PRIJEM,nan
17,1100.0,nan,VYBER,VYDAJ,nan
17,2300.0,nan,VKLAD,PRIJEM,nan
17,4100.0,nan,VKLAD,PRIJEM,nan
17,5100.0,nan,VKLAD,PRIJEM,nan
17,44068.0,nan,VKLAD,PRIJEM,nan
17,132.4,nan,nan,PRIJEM,UROK
17,25500.0,nan,VYBER,VYDAJ,nan
18,1100.0,nan,VKLAD,PRIJEM,nan
18,13500.0,nan,VKLAD,PRIJEM,nan
18,2600.0,nan,VKLAD,PRIJEM,nan
18,3500.0,nan,VKLAD,PRIJEM,nan
18,2500.0,nan,VKLAD,PRIJEM,nan
18,200.0,nan,VKLAD,PRIJEM,nan
18,1900.0,nan,VYBER,VYDAJ,nan
18,13402.0,nan,VKLAD,PRIJEM,nan
18,6000.0,nan,VYBER,VYDAJ,nan
18,42.7,nan,nan,PRIJEM,UROK
18,1000.0,nan,VYBER,VYDAJ,nan
19,1000.0,nan,VKLAD,PRIJEM,nan
19,15139.0,OP,PREVOD Z UCTU,PRIJEM,nan
19,47.1,nan,nan,PRIJEM,UROK
19,47.1,nan,nan,PRIJEM,UROK
19,4400.0,nan,VKLAD,PRIJEM,nan
19,15139.0,OP,PREVOD Z UCTU,PRIJEM,nan
19,125.2,nan,nan,PRIJEM,UROK
19,125.2,nan,nan,PRIJEM,UROK
19,2900.0,nan,VYBER,VYDAJ,nan
19,22708.0,OP,PREVOD Z UCTU,PRIJEM,nan
19,207.0,nan,nan,PRIJEM,UROK
20,500.0,nan,VKLAD,PRIJEM,nan
20,3005.0,EF,PREVOD Z UCTU,PRIJEM,nan
20,3005.0,EF,PREVOD Z UCTU,PRIJEM,nan
20,3005.0,EF,PREVOD Z UCTU,PRIJEM,nan
20,3005.0,EF,PREVOD Z UCTU,PRIJEM,nan
20,1080.0,nan,VYBER,VYDAJ,nan
20,3005.0,EF,PREVOD Z UCTU,PRIJEM,nan
20,2003.0,AB,PREVOD NA UCET,VYDAJ,SIPO
20,14.6,nan,VYBER,VYDAJ,SLUZBY
20,30.1,nan,nan,PRIJEM,UROK
20,2003.0,AB,PREVOD NA UCET,VYDAJ,SIPO
21,1100.0,nan,VKLAD,PRIJEM,nan
21,14122.5,nan,VKLAD,PRIJEM,nan
21,49.1,nan,nan,PRIJEM,UROK
21,4000.0,nan,VKLAD,PRIJEM,nan
21,9415.0,nan,VKLAD,PRIJEM,nan
21,106.9,nan,nan,PRIJEM,UROK
21,4500.0,nan,VYBER,VYDAJ,nan
