id,cds,amt,wday
3,4,20.96,Tue
3,5,57.45,Sat
3,1,16.99,Thu
3,2,20.76,Sun
3,2,20.76,Thu
5,3,40.47,Mon
5,3,37.47,Sat
5,3,40.47,Fri
5,4,46.46,Mon
5,2,28.14,Tue
8,1,13.99,Thu
8,2,24.46,Sun
8,1,2.99,Sun
8,7,50.43,Sun
8,3,45.29,Tue
25,3,24.97,Wed
25,1,10.49,Mon
25,2,24.98,Mon
25,1,12.99,Fri
25,1,12.99,Fri
29,3,35.97,Sun
29,1,14.79,Sat
29,2,26.74,Sun
29,2,37.65,Sun
29,1,32.45,Fri
33,4,54.46,Fri
33,2,42.48,Fri
33,4,35.35,Thu
33,3,34.47,Fri
33,3,36.97,Tue
37,3,39.47,Sun
37,2,31.26,Wed
37,2,29.13,Thu
37,1,13.97,Sat
37,1,14.37,Sat
39,3,33.33,Wed
39,4,50.68,Thu
39,2,28.93,Wed
39,4,49.55,Thu
39,2,58.96,Wed
40,1,14.42,Sun
40,3,36.34,Wed
40,1,12.58,Sun
40,4,54.96,Sun
40,1,16.99,Sat
43,1,14.49,Sun
43,1,36.99,Fri
43,2,29.33,Wed
43,2,25.74,Sun
43,1,10.77,Sat
46,2,26.98,Thu
46,2,26.98,Wed
46,4,57.11,Sun
46,4,58.07,Sat
46,3,45.09,Sun
47,1,12.99,Sat
47,1,13.99,Tue
47,2,22.98,Sun
47,1,14.49,Wed
47,1,12.99,Wed
48,1,20.99,Mon
48,2,29.48,Sat
48,1,9.49,Mon
48,3,51.47,Sun
48,3,40.47,Fri
51,1,13.99,Sat
51,5,53.95,Sat
51,1,11.49,Mon
51,8,111.93,Mon
51,5,71.42,Mon
52,2,76.98,Fri
52,4,59.84,Sun
52,3,38.33,Wed
52,7,104.72,Sat
52,2,33.98,Sun
53,1,19.99,Wed
53,1,14.37,Tue
53,1,11.49,Wed
53,1,11.88,Tue
53,1,14.49,Mon
62,3,41.97,Wed
62,1,15.99,Thu
62,2,25.98,Wed
62,1,15.36,Wed
62,1,5.78,Wed
64,1,7.68,Tue
64,2,35.48,Sat
64,3,41.97,Tue
64,3,37.56,Thu
64,2,21.98,Thu
81,2,26.98,Mon
81,1,11.97,Tue
81,1,14.96,Thu
81,1,7.78,Mon
81,5,82.79,Thu
82,3,40.29,Fri
82,3,40.56,Fri
82,3,43.97,Sun
82,3,48.5,Sat
82,3,38.5,Wed
89,3,39.97,Fri
89,1,40.99,Wed
89,1,22.49,Fri
89,2,26.98,Wed
89,2,34.98,Fri
95,4,66.46,Mon
95,4,65.44,Wed
95,3,59.97,Thu
95,7,106.93,Tue
95,6,82.42,Mon
96,5,234.45,Tue
96,1,248.49,Sun
96,4,68.46,Fri
96,4,54.85,Thu
96,2,28.37,Tue
99,3,40.97,Thu
99,1,65.99,Tue
99,2,24.98,Sat
99,2,28.34,Sun
99,2,28.93,Thu
106,2,31.52,Wed
106,2,29.92,Sun
106,2,30.72,Thu
106,2,27.98,Tue
106,1,36.99,Tue
111,3,83.47,Sat
111,3,55.47,Sat
111,1,72.99,Sun
111,2,23.06,Thu
111,2,32.98,Sat
114,2,28.98,Wed
114,1,22.97,Mon
114,1,28.49,Tue
114,1,16.36,Wed
114,2,28.13,Thu
120,1,22.97,Wed
120,1,14.96,Sat
120,1,11.77,Sun
120,1,42.32,Sat
120,1,11.49,Thu
124,2,28.93,Wed
124,2,28.48,Sat
124,2,26.98,Thu
124,2,25.98,Sun
124,2,27.98,Fri
125,3,37.47,Wed
125,1,13.72,Sun
125,1,12.99,Fri
125,1,6.49,Fri
125,1,11.49,Mon
130,1,12.99,Sat
130,1,14.96,Wed
130,1,5.99,Tue
130,1,12.99,Wed
130,3,42.89,Sat
132,3,53.69,Wed
132,5,54.65,Thu
132,2,27.13,Tue
132,4,57.45,Mon
132,5,67.95,Mon
133,3,59.74,Sat
133,2,32.98,Tue
133,3,47.33,Sun
133,1,18.99,Wed
133,1,9.77,Sat
141,1,11.88,Sun
141,2,23.76,Thu
141,1,5.49,Fri
141,1,19.97,Wed
141,1,22.77,Wed
142,1,15.36,Thu
142,3,49.97,Mon
142,1,19.99,Sun
142,1,12.58,Thu
142,1,24.49,Sat
145,1,11.88,Sat
145,2,24.46,Thu
145,1,12.58,Mon
145,3,55.97,Wed
145,1,12.99,Thu
147,2,27.14,Tue
147,3,62.1,Mon
147,1,13.97,Sat
147,1,12.99,Mon
147,1,14.99,Mon
148,2,29.57,Sat
148,2,29.91,Sun
148,3,40.97,Fri
148,1,14.96,Wed
148,1,9.77,Mon
152,6,102,Wed
152,2,21.54,Mon
152,2,23.54,Sun
152,2,28.93,Mon
152,3,43.97,Tue
154,1,11.88,Sun
154,1,13.99,Thu
154,1,14.37,Wed
154,1,14.96,Thu
154,1,13.99,Sat
161,2,36.98,Mon
161,4,54.77,Tue
161,2,25.98,Sat
161,3,79.97,Sun
161,3,32.47,Thu
164,3,42.7,Fri
164,2,24.46,Mon
164,3,41.97,Tue
164,1,14.96,Tue
164,2,27.94,Fri
166,1,11.88,Wed
166,1,11.88,Wed
166,1,11.49,Tue
166,3,36.97,Wed
166,3,36.97,Sat
167,1,59.49,Thu
167,1,18.49,Wed
167,1,11.49,Sun
167,1,12.99,Sat
167,2,30.32,Sun
177,1,14.96,Fri
177,1,11.77,Sun
177,1,14.96,Sun
177,1,14.96,Fri
177,1,14.99,Wed
