id,team,league,G,AB,H
1,MIN,AL,6,0,0
1,MIN,AL,28,5,1
1,MIN,AL,14,0,0
1,MIN,AL,29,5,0
1,MIN,AL,31,2,0
1,MIN,AL,26,2,1
1,MIN,AL,22,3,0
1,CHA,AL,12,0,0
2,PHI,NL,5,2,0
2,CAL,AL,52,69,14
2,CAL,AL,55,58,11
2,CAL,AL,7,2,1
2,BAL,AL,6,5,0
2,BAL,AL,27,14,3
2,BAL,AL,25,13,1
2,ML4,AL,34,17,1
3,SFN,NL,41,115,32
3,SFN,NL,135,472,106
3,SFN,NL,112,305,62
3,SFN,NL,121,350,78
3,NYN,NL,134,502,116
3,NYN,NL,123,474,113
3,NYN,NL,58,211,44
3,SDN,NL,56,168,40
4,BAL,AL,53,79,18
4,BAL,AL,4,2,1
4,BAL,AL,24,32,2
4,NYN,NL,44,136,32
4,TEX,AL,90,145,41
4,TEX,AL,122,366,82
4,BOS,AL,86,216,61
4,BOS,AL,91,297,72
5,NYA,AL,26,60,17
5,NYA,AL,28,29,6
5,NYA,AL,5,1,0
5,SLA,AL,53,42,9
5,SLA,AL,53,29,5
5,SLA,AL,16,13,6
5,SLA,AL,25,30,4
5,SLA,AL,2,2,0
6,MON,NL,32,10,0
6,MON,NL,63,14,3
6,MON,NL,81,8,0
6,CIN,NL,61,12,2
6,CIN,NL,15,3,0
6,NYN,NL,53,7,0
6,NYN,NL,58,6,0
6,MON,NL,9,2,0
7,CHA,AL,2,3,2
7,CHA,AL,102,290,67
7,CHA,AL,96,297,84
7,CHA,AL,101,294,63
7,CHA,AL,116,354,88
7,CHA,AL,119,379,85
7,CHA,AL,107,367,95
7,NYA,AL,80,200,51
8,NYA,AL,3,0,0
8,NYA,AL,6,0,0
8,NYA,AL,5,0,0
8,NYA,AL,18,0,0
8,SDN,NL,7,9,1
8,SDN,NL,10,12,1
8,NYA,AL,4,0,0
8,TBA,AL,1,0,0
9,CIN,NL,24,39,5
9,CIN,NL,41,3,0
9,CIN,NL,59,3,1
9,CIN,NL,21,41,4
9,CIN,NL,30,48,7
9,CIN,NL,26,14,0
9,CIN,NL,25,7,1
9,SFN,NL,20,6,1
10,HOU,NL,3,2,0
10,HOU,NL,1,0,0
10,HOU,NL,42,15,1
10,HOU,NL,40,26,3
10,HOU,NL,52,27,5
10,HOU,NL,47,18,3
10,HOU,NL,54,16,1
10,HOU,NL,42,13,3
11,MIL,NL,32,77,20
11,MIL,NL,69,123,32
11,MIL,NL,29,42,8
11,SDN,NL,119,393,106
11,SDN,NL,117,289,59
11,LAN,NL,136,312,80
11,LAN,NL,103,259,60
11,PHI,NL,80,105,16
12,LAN,NL,6,11,3
12,LAN,NL,79,233,55
12,LAN,NL,24,67,14
12,WS2,AL,150,555,146
12,WS2,AL,147,524,122
12,WS2,AL,146,563,138
12,WS2,AL,151,557,138
12,WS2,AL,158,562,153
13,SDN,NL,5,11,1
13,SDN,NL,43,128,30
13,SDN,NL,51,83,17
13,SDN,NL,48,94,17
13,SDN,NL,19,40,8
13,TOR,AL,32,89,11
13,TOR,AL,91,218,47
13,CAL,AL,1,2,0
14,CHA,AL,7,0,0
14,CHA,AL,20,2,0
14,CHA,AL,40,6,1
14,PIT,NL,34,63,12
14,PIT,NL,34,68,13
14,PIT,NL,25,43,8
14,PIT,NL,34,57,9
14,PIT,NL,7,11,1
15,MON,NL,129,499,144
15,MON,NL,151,563,134
15,MON,NL,135,530,155
15,MON,NL,123,481,142
15,LAN,NL,89,320,80
15,LAN,NL,127,425,109
15,LAN,NL,154,581,130
15,SLN,NL,150,572,169
16,PIT,NL,8,5,1
16,PIT,NL,5,8,0
16,NYN,NL,44,73,5
16,NYN,NL,49,79,16
16,NYN,NL,50,72,11
16,NYN,NL,56,60,7
16,SLN,NL,51,74,13
16,SLN,NL,41,31,8
17,ARI,NL,6,16,4
17,ARI,NL,84,214,48
17,ARI,NL,70,184,47
17,ARI,NL,128,425,125
17,ARI,NL,85,297,79
17,ARI,NL,140,493,139
17,ARI,NL,141,486,139
17,ARI,NL,116,413,95
18,PHI,NL,1,0,0
18,PHI,NL,52,3,0
18,PHI,NL,78,6,0
18,PHI,NL,50,33,6
18,PHI,NL,38,3,0
18,PHI,NL,76,2,0
18,PHI,NL,79,0,0
18,PHI,NL,55,1,0
19,DET,AL,12,38,9
19,DET,AL,51,175,46
19,DET,AL,83,290,95
19,DET,AL,69,266,74
19,DET,AL,128,401,91
19,DET,AL,149,531,150
19,DET,AL,154,581,167
19,DET,AL,119,441,118
20,PIT,NL,50,133,36
20,PIT,NL,88,235,68
20,PIT,NL,104,324,82
20,PIT,NL,10,35,6
20,CHN,NL,66,204,63
20,CHN,NL,60,151,36
20,CIN,NL,49,116,22
20,SLA,AL,32,95,23
21,DET,AL,154,612,188
21,DET,AL,150,612,207
21,DET,AL,155,618,202
21,DET,AL,114,293,94
21,BOS,AL,142,519,153
21,BOS,AL,1,5,1
21,NYA,AL,56,116,41
21,WS1,AL,18,37,9
22,KCA,AL,7,27,5
22,KCA,AL,32,77,12
22,OAK,AL,42,118,26
22,OAK,AL,46,103,19
22,FLO,NL,29,44,14
22,FLO,NL,36,92,17
22,MIA,NL,52,116,25
22,CHN,NL,46,149,38
23,CHN,NL,20,10,0
23,CHN,NL,6,1,0
23,CHN,NL,7,1,0
23,CHN,NL,22,15,3
23,NYA,AL,8,0,0
23,NYA,AL,26,0,0
23,KCA,AL,20,0,0
23,KCA,AL,52,0,0
24,CHN,NL,31,7,1
24,CHN,NL,41,13,1
24,CHN,NL,38,82,15
24,CHN,NL,39,81,9
24,CHN,NL,40,69,12
24,CHN,NL,41,61,7
24,CHN,NL,14,1,0
24,NYA,AL,15,0,0
25,DET,AL,4,2,0
25,DET,AL,34,77,13
25,DET,AL,32,57,8
25,DET,AL,11,7,0
25,DET,AL,35,18,3
25,DET,AL,27,13,2
25,DET,AL,10,3,1
25,DET,AL,42,33,4
26,BAL,AL,6,11,2
26,BAL,AL,9,13,2
26,WS2,AL,96,284,65
26,WS2,AL,123,385,90
26,WS2,AL,131,403,112
26,WS2,AL,140,430,110
26,WS2,AL,24,85,21
26,OAK,AL,104,329,77
27,ML1,NL,35,53,15
27,ML1,NL,71,182,43
27,ML1,NL,85,226,50
27,ML1,NL,103,251,54
27,ML1,NL,63,148,38
27,ML1,NL,45,93,20
27,NYN,NL,141,466,128
27,BOS,AL,66,178,56
28,HOU,NL,20,25,3
28,HOU,NL,26,38,6
28,HOU,AL,27,6,0
28,COL,NL,23,48,9
28,COL,NL,11,19,0
28,COL,NL,40,8,0
28,COL,NL,33,5,1
28,SDN,NL,5,8,2
29,NYA,AL,37,66,18
29,NYA,AL,40,76,20
29,CLE,AL,25,28,8
29,BRO,NL,128,458,142
29,BRO,NL,126,425,135
29,BRO,NL,110,384,136
29,BRO,NL,68,167,43
29,BRO,NL,1,1,0
30,MIN,AL,8,18,4
30,MIN,AL,41,112,29
30,MIN,AL,35,102,25
30,MIN,AL,115,339,89
30,MIN,AL,126,422,111
30,MIN,AL,150,557,158
30,MIN,AL,144,547,151
30,MIN,AL,71,249,62
31,CLE,AL,46,0,0
31,CLE,AL,7,0,0
31,NYN,NL,58,5,0
31,NYN,NL,57,1,0
31,COL,NL,74,9,1
31,COL,NL,68,1,0
31,COL,NL,63,5,0
31,COL,NL,17,1,0
32,PHI,NL,3,5,1
32,CHA,AL,7,23,6
32,CHA,AL,107,347,82
32,CHA,AL,65,179,46
32,ATL,NL,59,157,38
32,ATL,NL,14,13,3
32,CLE,AL,39,94,21
32,DET,AL,2,1,0
33,OAK,AL,73,221,63
33,OAK,AL,148,590,182
33,OAK,AL,134,490,126
33,TEX,AL,129,521,148
33,TEX,AL,12,42,7
33,CHA,AL,86,314,83
33,CHA,AL,131,471,132
33,CHA,AL,32,90,26
34,BOS,AL,15,18,1
34,BOS,AL,35,80,13
34,BOS,AL,39,114,29
34,BOS,AL,40,98,19
34,BOS,AL,37,81,25
34,BOS,AL,35,84,8
34,BOS,AL,38,94,21
34,BOS,AL,19,34,3
35,TBA,AL,9,0,0
35,TBA,AL,1,0,0
35,TBA,AL,8,0,0
35,TBA,AL,3,0,0
35,TEX,AL,2,0,0
35,CIN,NL,32,0,0
35,CIN,NL,21,0,0
35,KCA,AL,4,0,0
36,CIN,NL,27,69,15
36,CIN,NL,2,1,0
36,PIT,NL,35,67,15
36,PIT,NL,18,17,2
36,PIT,NL,63,172,47
36,PIT,NL,53,113,27
36,SLN,NL,45,119,35
36,SLN,NL,20,30,4
37,CIN,NL,151,643,182
37,CIN,NL,128,415,123
37,CIN,NL,27,81,19
37,CHN,NL,58,164,37
37,CHN,NL,146,560,159
37,CHN,NL,103,409,133
37,CHN,NL,133,520,159
37,CHN,NL,90,303,90
38,NYA,AL,113,189,37
38,NYA,AL,22,31,7
38,ARI,NL,139,502,139
38,ARI,NL,99,274,70
38,ARI,NL,31,86,18
38,FLO,NL,69,164,40
38,FLO,NL,54,81,15
38,FLO,NL,133,435,109
39,TEX,AL,8,8,3
39,TEX,AL,24,46,8
39,TEX,AL,147,457,119
39,TEX,AL,155,533,146
39,TEX,AL,95,288,63
39,SEA,AL,143,518,128
39,SEA,AL,34,115,20
39,CHN,NL,15,13,2
40,MON,NL,16,18,4
40,MON,NL,79,261,73
40,MON,NL,104,382,97
40,MON,NL,125,422,100
40,MON,NL,162,626,173
40,MON,NL,153,563,148
40,MON,NL,162,626,186
40,MON,NL,103,390,96
41,MIN,AL,9,1,0
41,MIN,AL,43,1,0
41,MIN,AL,39,0,0
41,MIN,AL,73,0,0
41,MIN,AL,76,0,0
41,MIN,AL,79,0,0
41,MIN,AL,74,0,0
41,LAN,NL,70,0,0
42,MIN,AL,10,0,0
42,MIN,AL,44,0,0
42,MIN,AL,24,0,0
42,MIN,AL,20,0,0
42,MIN,AL,43,0,0
42,MIN,AL,67,1,0
42,MIN,AL,77,0,0
42,MIN,AL,75,0,0
43,KC1,AL,73,243,76
43,KC1,AL,125,304,79
43,BAL,AL,115,312,91
43,BAL,AL,139,416,127
43,BAL,AL,148,429,110
43,BAL,AL,56,93,27
43,BAL,AL,132,345,93
43,BAL,AL,117,373,114
44,SEA,AL,1,0,0
44,SEA,AL,6,0,0
44,SEA,AL,16,0,0
44,KCA,AL,22,0,0
44,KCA,AL,32,5,1
44,KCA,AL,15,0,0
44,COL,NL,3,1,0
44,MIL,NL,15,17,0
45,PIT,NL,2,6,2
45,PIT,NL,38,54,5
45,PIT,NL,44,53,4
45,PIT,NL,29,66,12
45,PIT,NL,30,39,4
45,PIT,NL,32,71,12
45,PIT,NL,37,67,9
45,PIT,NL,7,11,2
46,COL,NL,25,96,23
46,COL,NL,155,609,177
46,COL,NL,101,377,99
46,COL,NL,151,543,161
46,COL,NL,122,470,148
46,COL,NL,143,537,162
46,COL,NL,47,181,52
46,COL,NL,126,446,139
47,DET,AL,12,0,0
47,DET,AL,5,0,0
47,DET,AL,28,4,0
47,DET,AL,19,4,0
47,COL,NL,31,2,0
47,COL,NL,16,5,0
47,ATL,NL,36,1,1
47,PHI,NL,1,0,0
48,TEX,AL,1,0,0
48,TEX,AL,17,0,0
48,TEX,AL,25,2,0
48,TEX,AL,28,6,0
48,TEX,AL,33,1,0
48,TEX,AL,56,0,0
48,TEX,AL,70,0,0
48,TEX,AL,44,0,0
49,CHN,NL,46,118,27
49,CHN,NL,31,95,29
49,CHN,NL,33,85,15
49,CHN,NL,39,111,24
49,CHN,NL,21,65,15
49,CHN,NL,32,79,19
49,CHN,NL,7,15,7
49,SLN,NL,23,50,6
50,PIT,NL,4,0,0
50,PIT,NL,13,10,0
50,PIT,NL,31,48,3
50,PIT,NL,8,16,1
50,CHN,NL,19,10,1
50,CHN,NL,33,70,3
50,CHN,NL,36,43,7
50,CHN,NL,39,46,3
51,FLO,NL,2,2,1
51,FLO,NL,105,351,100
51,FLO,NL,123,259,67
51,FLO,NL,144,449,141
51,FLO,NL,126,438,134
51,BOS,AL,148,544,150
51,BOS,AL,150,508,151
51,BOS,AL,134,449,122
52,PIT,NL,42,62,13
52,PIT,NL,103,333,95
52,PIT,NL,149,506,129
52,PIT,NL,116,394,96
52,PIT,NL,149,519,133
52,PIT,NL,145,502,128
52,PIT,NL,117,394,99
52,DET,AL,74,256,69
53,KCA,AL,8,0,0
53,SLN,NL,25,14,3
53,DET,AL,61,0,0
53,DET,AL,67,0,0
53,DET,AL,29,0,0
53,DET,AL,19,0,0
53,DET,AL,57,0,0
53,DET,AL,71,0,0
54,ATL,NL,3,9,5
54,ATL,NL,43,37,6
54,ATL,NL,43,59,5
54,ATL,NL,41,76,10
54,ATL,NL,27,42,7
54,ATL,NL,21,28,5
54,MON,NL,32,4,1
54,MON,NL,23,40,7
55,PHI,NL,2,3,0
55,PHI,NL,17,20,2
55,PHI,NL,2,1,1
55,CHA,AL,78,199,49
55,CHA,AL,114,322,88
55,OAK,AL,126,278,62
55,OAK,AL,98,313,76
55,OAK,AL,87,285,66
56,BOS,AL,18,10,1
56,BOS,AL,23,25,2
56,NYN,NL,4,7,0
56,NYN,NL,51,38,5
56,NYN,NL,36,54,6
56,NYN,NL,35,27,7
56,BOS,AL,11,3,0
56,KCA,AL,15,0,0
57,SFN,NL,13,13,3
57,SFN,NL,32,18,4
57,SFN,NL,46,56,3
57,SFN,NL,49,64,10
57,SFN,NL,36,86,16
57,SFN,NL,42,91,13
57,SFN,NL,39,97,11
57,SFN,NL,40,117,14
58,DET,AL,117,368,87
58,DET,AL,102,366,103
58,DET,AL,146,576,149
58,DET,AL,154,610,164
58,DET,AL,127,459,122
58,DET,AL,139,536,136
58,ML1,NL,148,585,153
58,ML1,NL,122,406,110
59,PIT,NL,7,15,3
59,PIT,NL,17,37,7
59,PIT,NL,103,333,108
59,PIT,NL,149,536,168
59,PIT,NL,147,504,146
59,PIT,NL,155,581,168
59,CHA,AL,141,531,154
59,TEX,AL,140,511,134
60,BSN,NL,16,2,1
60,BSN,NL,29,22,2
60,ML1,NL,36,14,1
60,ML1,NL,40,13,3
60,ML1,NL,40,20,2
60,ML1,NL,36,4,1
60,ML1,NL,30,17,6
60,ML1,NL,15,2,0
61,NYA,AL,1,4,1
61,NYA,AL,30,57,14
61,SLA,AL,3,5,2
61,BRO,NL,39,55,7
61,BRO,NL,39,55,10
61,BRO,NL,42,46,6
61,PHI,NL,6,2,0
61,BRO,NL,12,5,0
62,NYN,NL,6,15,2
62,NYN,NL,30,74,11
62,NYN,NL,139,495,136
62,NYN,NL,129,411,101
62,NYN,NL,147,509,151
62,NYN,NL,137,483,164
62,NYN,NL,134,506,140
62,NYN,NL,136,505,161
63,CHA,AL,13,35,9
63,CHA,AL,4,3,0
63,CHA,AL,12,38,13
63,CHA,AL,130,464,139
63,CHA,AL,130,487,132
63,CHA,AL,92,290,82
63,CHA,AL,68,234,57
63,BRO,NL,53,196,60
64,FLO,NL,14,13,0
64,FLO,NL,26,49,5
64,FLO,NL,33,77,6
64,FLO,NL,34,61,3
64,FLO,NL,18,34,2
64,CIN,NL,17,29,6
64,CIN,NL,24,33,1
64,CHN,NL,23,1,0
